algorithm,minrun,dataset_type,n,run_id,time_ms,comparisons,moves
TimSort,16,reversed,100000,2,4053.49,199029732,199350796
TimSort,32,reversed,100000,2,2748.81,137287142,138158918
TimSort,64,reversed,100000,2,1479.85,74587081,77006716
TimSort,128,reversed,100000,2,965.723,39390269,45146068
MergeSort,NA,reversed,100000,3,35.5773,818181,1668928
TimSort,16,reversed,100000,3,3934.39,193581561,193896857
TimSort,32,reversed,100000,3,2760.82,137544086,138398441
TimSort,64,reversed,100000,3,1506.67,76073133,78471081
TimSort,128,reversed,100000,3,888.125,39475698,45211533
MergeSort,NA,reversed,100000,4,32.2707,818271,1668928
TimSort,16,reversed,100000,4,3598.49,174012305,174334451
TimSort,32,reversed,100000,4,2721.24,132344882,133190496
TimSort,64,reversed,100000,4,1047.74,45537894,47990367
TimSort,128,reversed,100000,4,587.436,21859809,27576161
MergeSort,NA,reversed,500000,0,188.774,4752786,9475712
TimSort,16,reversed,500000,0,147592,7716920526,7720125899
TimSort,32,reversed,500000,0,74163.5,3906686847,3913582398
TimSort,64,reversed,500000,0,37255,1954611911,1969125251
TimSort,128,reversed,500000,0,19119.4,978677271,1008748523
MergeSort,NA,reversed,500000,1,185.611,4752914,9475712
TimSort,16,reversed,500000,1,145596,7575611226,7578822197
TimSort,32,reversed,500000,1,73748.5,3907032134,3913928213
TimSort,64,reversed,500000,1,37040,1954612168,1969128217
TimSort,128,reversed,500000,1,18808.2,978677623,1008752393
MergeSort,NA,reversed,500000,2,205.874,4752559,9475712
TimSort,16,reversed,500000,2,147785,7727282813,7730488017
TimSort,32,reversed,500000,2,74482.9,3907090042,3913988052
TimSort,64,reversed,500000,2,37163.4,1954612061,1969128958
TimSort,128,reversed,500000,2,18831.2,978677295,1008750282
MergeSort,NA,reversed,500000,3,212.623,4752733,9475712
TimSort,16,reversed,500000,3,130849,6730725023,6733932529
TimSort,32,reversed,500000,3,75592.4,3907138551,3914044068
TimSort,64,reversed,500000,3,41598.7,1954612029,1969129476
TimSort,128,reversed,500000,3,19662.8,978677537,1008753083
MergeSort,NA,reversed,500000,4,202.595,4752623,9475712
TimSort,16,reversed,500000,4,149082,7635374005,7638579020
TimSort,32,reversed,500000,4,76937.2,3906981094,3913877987
TimSort,64,reversed,500000,4,38516.6,1954611663,1969124204
TimSort,128,reversed,500000,4,20117.3,978677392,1008749192
MergeSort,NA,nearly_sorted,10000,0,2.9445,111067,133616
TimSort,16,nearly_sorted,10000,0,98.1119,1306841,2552802
TimSort,32,nearly_sorted,10000,0,73.4945,969795,1541777
TimSort,64,nearly_sorted,10000,0,41.991,652488,821137
TimSort,128,nearly_sorted,10000,0,23.0646,412895,462402
MergeSort,NA,nearly_sorted,10000,1,3.8005,111361,133616
TimSort,16,nearly_sorted,10000,1,102.323,1319364,2641876
TimSort,32,nearly_sorted,10000,1,67.2669,789598,1281469
TimSort,64,nearly_sorted,10000,1,43.8211,646496,822101
TimSort,128,nearly_sorted,10000,1,23.5875,404938,463822
MergeSort,NA,nearly_sorted,10000,2,2.9267,110712,133616
TimSort,16,nearly_sorted,10000,2,104.251,1358435,2707029
TimSort,32,nearly_sorted,10000,2,62.0572,866098,1161300
TimSort,64,nearly_sorted,10000,2,48.8568,644895,821156
TimSort,128,nearly_sorted,10000,2,22.1564,401045,460997
MergeSort,NA,nearly_sorted,10000,3,2.9674,111818,133616
TimSort,16,nearly_sorted,10000,3,102.042,1280381,2773932
TimSort,32,nearly_sorted,10000,3,58.9419,594180,1008757
TimSort,64,nearly_sorted,10000,3,44.2605,641138,822469
TimSort,128,nearly_sorted,10000,3,21.5161,407968,461872
MergeSort,NA,nearly_sorted,10000,4,2.932,111132,133616
TimSort,16,nearly_sorted,10000,4,95.5213,1284203,2418630
TimSort,32,nearly_sorted,10000,4,59.2311,833858,1116042
TimSort,64,nearly_sorted,10000,4,41.4835,644116,813142
